run,checkpoint,case_id,query_count,Kq_min,Kq_max,Kq_mean,Kq_q10,Kq_q90,Kq_histogram
Run 1501,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1501_20260922_211056_sparse_incidence_adaptive_honf/best_by_field_mse_model.pt,0658,8192,2,6,3.20458984375,2.0,4.0,"{""2"": 1488, ""3"": 3891, ""4"": 2500, ""5"": 275, ""6"": 38}"
Run 1501,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1501_20260922_211056_sparse_incidence_adaptive_honf/best_by_field_mse_model.pt,0659,8192,2,6,3.5404052734375,3.0,5.0,"{""2"": 604, ""3"": 3684, ""4"": 2883, ""5"": 915, ""6"": 106}"
Run 1501,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1501_20260922_211056_sparse_incidence_adaptive_honf/best_by_field_mse_model.pt,0660,8192,2,6,3.246826171875,2.0,4.0,"{""2"": 1810, ""3"": 3188, ""4"": 2644, ""5"": 462, ""6"": 88}"
Run 1501,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1501_20260922_211056_sparse_incidence_adaptive_honf/best_by_field_mse_model.pt,0661,8192,3,6,3.575927734375,3.0,4.0,"{""3"": 4261, ""4"": 3256, ""5"": 563, ""6"": 112}"
Run 1501,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1501_20260922_211056_sparse_incidence_adaptive_honf/best_by_field_mse_model.pt,0662,8192,2,6,3.4078369140625,3.0,4.0,"{""2"": 286, ""3"": 4866, ""4"": 2541, ""5"": 411, ""6"": 88}"
Run 1501,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1501_20260922_211056_sparse_incidence_adaptive_honf/best_by_field_mse_model.pt,0663,8192,2,6,3.1962890625,2.0,4.0,"{""2"": 1446, ""3"": 4088, ""4"": 2295, ""5"": 330, ""6"": 33}"
Run 1501,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1501_20260922_211056_sparse_incidence_adaptive_honf/best_by_field_mse_model.pt,0664,8192,2,6,3.2254638671875,2.0,4.0,"{""2"": 1164, ""3"": 4648, ""4"": 1799, ""5"": 531, ""6"": 50}"
Run 1501,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1501_20260922_211056_sparse_incidence_adaptive_honf/best_by_field_mse_model.pt,0665,8192,2,6,3.052978515625,2.0,4.0,"{""2"": 1902, ""3"": 4193, ""4"": 1901, ""5"": 153, ""6"": 43}"
Run 1501,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1501_20260922_211056_sparse_incidence_adaptive_honf/best_by_field_mse_model.pt,0666,8192,2,6,3.2823486328125,2.0,4.0,"{""2"": 1193, ""3"": 3958, ""4"": 2600, ""5"": 417, ""6"": 24}"
Run 1501,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1501_20260922_211056_sparse_incidence_adaptive_honf/best_by_field_mse_model.pt,0667,8192,2,6,3.05419921875,2.0,4.0,"{""2"": 2190, ""3"": 3754, ""4"": 1930, ""5"": 250, ""6"": 68}"
Run 1501,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1501_20260922_211056_sparse_incidence_adaptive_honf/best_by_field_mse_model.pt,0668,8192,2,6,3.2279052734375,2.0,4.0,"{""2"": 1530, ""3"": 3612, ""4"": 2737, ""5"": 279, ""6"": 34}"
Run 1501,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1501_20260922_211056_sparse_incidence_adaptive_honf/best_by_field_mse_model.pt,0669,8192,2,6,3.26123046875,2.0,4.0,"{""2"": 1495, ""3"": 3548, ""4"": 2722, ""5"": 368, ""6"": 59}"
Run 1501,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1501_20260922_211056_sparse_incidence_adaptive_honf/best_by_field_mse_model.pt,0670,8192,2,6,3.3992919921875,3.0,4.0,"{""2"": 784, ""3"": 3941, ""4"": 2915, ""5"": 516, ""6"": 36}"
Run 1501,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1501_20260922_211056_sparse_incidence_adaptive_honf/best_by_field_mse_model.pt,0671,8192,2,6,3.249755859375,2.0,4.0,"{""2"": 844, ""3"": 4776, ""4"": 2298, ""5"": 230, ""6"": 44}"
Run 1501,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1501_20260922_211056_sparse_incidence_adaptive_honf/best_by_field_mse_model.pt,0672,8192,2,7,3.3583984375,3.0,4.0,"{""2"": 566, ""3"": 4543, ""4"": 2716, ""5"": 319, ""6"": 44, ""7"": 4}"
Run 1501,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1501_20260922_211056_sparse_incidence_adaptive_honf/best_by_field_mse_model.pt,0673,8192,2,5,3.077880859375,2.0,4.0,"{""2"": 2137, ""3"": 3546, ""4"": 2243, ""5"": 266}"
Run 1501,/home/wanglz/Desktop/src/ModularDT/HONF_Proj/Trained_Results/ThermalChannel/HONF_Forward_Runs/Run_1501_20260922_211056_sparse_incidence_adaptive_honf/best_by_field_mse_model.pt,0674,8192,2,6,3.1279296875,2.0,4.0,"{""2"": 1934, ""3"": 3621, ""4"": 2301, ""5"": 327, ""6"": 9}"
