endpoint,source_index,case,layout_index,wind_direction_deg,classic_volume_rmse_mps,dense_volume_rmse_mps,dense_minus_classic_volume_rmse_mps
epoch2500_validation,130,gen_0043_wd285,43,285.0,0.01487589068710804,0.007295476272702217,-0.007580414414405823
epoch2500_validation,131,gen_0043_wd300,43,300.0,0.014349325560033321,0.010122525505721569,-0.004226800054311752
epoch2500_validation,159,gen_0053_wd270,53,270.0,0.016662685200572014,0.009389154613018036,-0.007273530587553978
epoch2500_validation,160,gen_0053_wd285,53,285.0,0.014112085103988647,0.008911048993468285,-0.005201036110520363
epoch2500_validation,161,gen_0053_wd300,53,300.0,0.01684287190437317,0.008585826493799686,-0.008257045410573483
epoch2500_validation,171,gen_0057_wd270,57,270.0,0.027220357209444046,0.010838712565600872,-0.016381644643843174
epoch2500_validation,172,gen_0057_wd285,57,285.0,0.01845434680581093,0.010041571222245693,-0.008412775583565235
epoch2500_validation,173,gen_0057_wd300,57,300.0,0.0173494853079319,0.009372069500386715,-0.007977415807545185
epoch2500_validation,180,gen_0060_wd270,60,270.0,0.012149790301918983,0.008667428977787495,-0.003482361324131489
epoch2500_validation,181,gen_0060_wd285,60,285.0,0.012608878314495087,0.008119190111756325,-0.004489688202738762
epoch2500_validation,182,gen_0060_wd300,60,300.0,0.015263768844306469,0.008814970962703228,-0.006448797881603241
epoch2500_validation,183,gen_0061_wd270,61,270.0,0.023245275020599365,0.009866754524409771,-0.013378520496189594
epoch2500_validation,184,gen_0061_wd285,61,285.0,0.017029941082000732,0.009165632538497448,-0.007864308543503284
epoch2500_validation,185,gen_0061_wd300,61,300.0,0.016966039314866066,0.009243064559996128,-0.007722974754869938
epoch2500_validation,207,gen_0069_wd270,69,270.0,0.012778169475495815,0.008062046952545643,-0.004716122522950172
epoch2500_validation,208,gen_0069_wd285,69,285.0,0.013948757201433182,0.008364911191165447,-0.0055838460102677345
epoch2500_validation,209,gen_0069_wd300,69,300.0,0.015027438290417194,0.007702804170548916,-0.0073246341198682785
epoch2500_validation,228,gen_0076_wd270,76,270.0,0.02341298758983612,0.010780959390103817,-0.012632028199732304
epoch2500_validation,229,gen_0076_wd285,76,285.0,0.02357330173254013,0.010411803610622883,-0.013161498121917248
