endpoint,stratum,classic_cases,dense_cases,classic_layouts,dense_layouts,classic_mean_volume_rmse_mps,dense_mean_volume_rmse_mps,dense_minus_classic_volume_rmse_mps,dense_reduction_percent_volume_rmse,classic_max_volume_rmse_mps,dense_max_volume_rmse_mps
epoch2500_validation,M=11,3,3,1,1,0.01480333941678206,0.00816145104666551,-0.0066418883701165506,44.86750038701984,0.017473764717578888,0.008725114166736603
epoch2500_validation,M=12,6,6,2,2,0.013226097449660301,0.007353920179108779,-0.005872177270551522,44.398412252000625,0.01571306400001049,0.008417757228016853
epoch2500_validation,M=13,3,3,1,1,0.015194058107833067,0.008875252989431223,-0.006318805118401844,41.587343378292594,0.01635695807635784,0.010122525505721569
epoch2500_validation,M=15,3,3,1,1,0.013340812486906847,0.008533863350749016,-0.004806949136157831,36.03190690878493,0.015263768844306469,0.008814970962703228
epoch2500_validation,M=17,6,6,2,2,0.019163118830571573,0.010060932332028946,-0.009102186498542627,47.498460866514066,0.02357330173254013,0.01300055906176567
epoch2500_validation,M=18,3,3,1,1,0.014905155325929323,0.00844934768974781,-0.006455807636181513,43.312582089975635,0.016700726002454758,0.00884438119828701
epoch2500_validation,M=19,6,6,2,2,0.018306149169802666,0.009235697953651348,-0.009070451216151318,49.54865784177969,0.024948904290795326,0.01193237118422985
epoch2500_validation,M=20,3,3,1,1,0.015872547402977943,0.008962010033428669,-0.0069105373695492744,43.53767038208843,0.01684287190437317,0.009389154613018036
epoch2500_validation,M=21,3,3,1,1,0.03074644071360429,0.01266193762421608,-0.01808450308938821,58.81820031736686,0.04222305119037628,0.013375570997595787
epoch2500_validation,M=22,3,3,1,1,0.0151485459258159,0.009670405959089598,-0.005478139966726303,36.162810566462014,0.01635376177728176,0.010013517923653126
epoch2500_validation,M=23,3,3,1,1,0.01908041847248872,0.009425150540967783,-0.009655267931520937,50.60301976836868,0.023245275020599365,0.009866754524409771
epoch2500_validation,M=24,9,9,3,3,0.026425223797559738,0.011808227230277326,-0.014616996567282412,55.3145611150216,0.05012260004878044,0.01305389404296875
epoch2500_validation,M=25,6,6,2,2,0.017849308128158253,0.010097512044012547,-0.007751796084145706,43.42911236944152,0.02039426565170288,0.010434486903250217
epoch2500_validation,M=27,3,3,1,1,0.021008063107728958,0.010084117762744427,-0.010923945344984531,51.998822018796986,0.027220357209444046,0.010838712565600872
epoch2500_validation,M=28,9,9,3,3,0.020136430238684017,0.01077758613973856,-0.009358844098945458,46.47717588476144,0.024475419893860817,0.011953990906476974
epoch2500_validation,M=29,3,3,1,1,0.020584505672256153,0.011823591155310472,-0.00876091451694568,42.56072337337526,0.021456895396113396,0.013050626963376999
epoch2500_validation,M=30,3,3,1,1,0.020872581129272778,0.01125301451732715,-0.009619566611945627,46.087096523269246,0.02178599312901497,0.011743440292775631
epoch2500_validation,M=8,3,3,1,1,0.0160810686647892,0.007910440675914288,-0.008170627988874912,50.80898638760969,0.018885409459471703,0.008523376658558846
epoch2500_validation,M=9,6,6,2,2,0.019723227092375357,0.009718146019925674,-0.010005081072449682,50.7274039161546,0.03056405670940876,0.013190312311053276
epoch2500_validation,M_bin=11-15,15,15,5,5,0.013958080982168516,0.00805568154901266,-0.005902399433155856,42.28661118026315,0.017473764717578888,0.010122525505721569
epoch2500_validation,M_bin=16-20,18,18,6,6,0.01761937312160929,0.009334103049089512,-0.008285270072519777,47.023637080244946,0.024948904290795326,0.01300055906176567
epoch2500_validation,M_bin=21-25,24,24,8,8,0.02249371159511308,0.010922149987891316,-0.011571561607221763,51.44354037923989,0.05012260004878044,0.013375570997595787
epoch2500_validation,M_bin=26-30,18,18,6,6,0.02047907343755166,0.010915580309099622,-0.009563493128452037,46.69885655527677,0.027220357209444046,0.013050626963376999
epoch2500_validation,M_bin=6-10,15,15,5,5,0.018004036322236062,0.008897553446392219,-0.009106482875843843,50.58022941553829,0.03056405670940876,0.013190312311053276
epoch2500_validation,aspect_xy_bin=1,29,29,13,13,0.0196612236122119,0.009673086492794341,-0.00998813711941756,50.80119791330672,0.05012260004878044,0.012799604795873165
epoch2500_validation,aspect_xy_bin=2,18,18,14,14,0.017799704283889797,0.009998375084251165,-0.007801329199638631,43.82842026594498,0.03056405670940876,0.013375570997595787
epoch2500_validation,aspect_xy_bin=3,24,24,14,14,0.01909511536359787,0.009934408066328615,-0.009160707297269255,47.974087209406676,0.03218602389097214,0.01305389404296875
epoch2500_validation,aspect_xy_bin=4,19,19,11,11,0.018747365543324696,0.009579387983601344,-0.009167977559723352,48.90275136811294,0.02357330173254013,0.011953990906476974
epoch2500_validation,direction=270,30,30,30,30,0.019977106681714454,0.010014275492479404,-0.00996283118923505,49.871241856831446,0.05012260004878044,0.013375570997595787
epoch2500_validation,direction=285,30,30,30,30,0.01782905953004956,0.009565325221046805,-0.008263734309002756,46.34980490740324,0.02635454759001732,0.012751735746860504
epoch2500_validation,direction=300,30,30,30,30,0.019028929652025302,0.009784546789402764,-0.009244382862622538,48.58067706208916,0.04222305119037628,0.013190312311053276
epoch2500_validation,mean_nn_D_bin=1,27,27,9,9,0.024691558477503282,0.011501566403441958,-0.013189992074061324,53.41903422612572,0.05012260004878044,0.013375570997595787
epoch2500_validation,mean_nn_D_bin=2,18,18,6,6,0.018339433500336275,0.009709908756323986,-0.008629524744012289,47.05447823049745,0.024475419893860817,0.011416570283472538
epoch2500_validation,mean_nn_D_bin=3,27,27,9,9,0.0166830915129847,0.0093305552792218,-0.007352536233762901,44.07178506477838,0.027220357209444046,0.01300055906176567
epoch2500_validation,mean_nn_D_bin=4,18,18,6,6,0.014323751286913952,0.007982154557895329,-0.006341596729018623,44.27329546563858,0.018885409459471703,0.010122525505721569
epoch2500_validation,min_sep_D_bin=1,27,27,9,9,0.024691558477503282,0.011501566403441958,-0.013189992074061324,53.41903422612572,0.05012260004878044,0.013375570997595787
epoch2500_validation,min_sep_D_bin=2,18,18,6,6,0.018339433500336275,0.009709908756323986,-0.008629524744012289,47.05447823049745,0.024475419893860817,0.011416570283472538
epoch2500_validation,min_sep_D_bin=3,27,27,9,9,0.0166830915129847,0.0093305552792218,-0.007352536233762901,44.07178506477838,0.027220357209444046,0.01300055906176567
epoch2500_validation,min_sep_D_bin=4,18,18,6,6,0.014323751286913952,0.007982154557895329,-0.006341596729018623,44.27329546563858,0.018885409459471703,0.010122525505721569
epoch2500_validation,nn_dispersion_bin=1,24,24,8,8,0.022349037618065875,0.010661199281457812,-0.011687838336608063,52.29683056759537,0.05012260004878044,0.013190312311053276
